Model,ngram_range,class_weight,Mean_F1,Std_F1,Scores
naive bayes,"(1, 1)",,0.5716129747256686,0.0036293212577359142,"[0.5756139595002154, 0.56589821661592, 0.5689956331877729, 0.5730843528654218, 0.5744727114590128]"
naive bayes,"(1, 2)",,0.5473007495718445,0.013359995966464639,"[0.5462317210348706, 0.564875491480996, 0.5446075005823433, 0.5249060150375939, 0.5558830197234187]"
Linear svm,"(1, 2)",,0.5115462438195111,0.00785342853858255,"[0.52197265625, 0.5112085769980507, 0.5110775427995972, 0.49798792756539234, 0.5154845154845155]"
LogisticRegression,"(1, 1)",,0.5105654457304629,0.0051361911983808855,"[0.5180456665848269, 0.5029498525073747, 0.5104270109235353, 0.5077111383108935, 0.5136935603256847]"
LogisticRegression,"(1, 2)",,0.5098334791075734,0.006150882632610841,"[0.5215264187866928, 0.5066926259430519, 0.5045135406218656, 0.5060899826000497, 0.5103448275862069]"
Linear svm,"(1, 1)",,0.5083484108555237,0.004700579808439025,"[0.5164619164619164, 0.5027133695115935, 0.5056039850560399, 0.5068493150684932, 0.5101134681795757]"
Linear svm,"(1, 2)",balanced,0.5078359812457331,0.008231007945045332,"[0.5178088921640874, 0.5091979396615158, 0.5070921985815603, 0.49303268305041803, 0.5120481927710844]"
LogisticRegression,"(1, 1)",balanced,0.5047071943150193,0.007511709374459523,"[0.5120198265179677, 0.49379036264282167, 0.5, 0.503725782414307, 0.514]"
LogisticRegression,"(1, 2)",balanced,0.5044275822379956,0.007523233456731051,"[0.5168150346191889, 0.5019665683382497, 0.5027876330461226, 0.4937091092098641, 0.5068595659765528]"
Linear svm,"(1, 1)",balanced,0.5037204879306472,0.005458750794108012,"[0.5142432499380728, 0.5001241619071269, 0.5006276675872458, 0.4997525977238991, 0.5038547624968913]"
